"DGGF","","","","","","","","","","","","",""
"1100688 - PAS REFORM B.V.","","","","","61.376","","","","","","60.530","","121.906"
"Kaap Verdische Eilanden","","","","","","","","","","","","",""
"1138210 - RAINMAKER HOLLAND B.V.","","88.691","","","","","","87.018","","","","","175.708"
"Kenia","","","","","","","","","","","","",""
"1192319 - GEA FOOD SOLUTIONS WEERT","","","","58.727","","","","","","58.727","","","117.455"
"1101871 - GEA FOOD SOLUTIONS WEERT","","","","","","","","","40.151","","","","40.151"
"1266455 - MUSH. COMB. TRADING B.V.","","","","","","61.630","","","","","","61.630","123.260"
"1070091 - RURAL SPARK B.V.","18.483","","","","","","18.483","","","","","","36.967"
"Liberia","","","","","","","","","","","","",""
"1101955 - RURAL SPARK B.V.","","","","","","","21.413","","21.413","","","","42.826"
"1156075 - RURAL SPARK B.V.","","","","","","","26.950","26.950","","","","","53.900"
"1206766 - RURAL SPARK B.V.","","","","68.090","","","","68.090","","68.090","","","204.269"
"1241462 - RURAL SPARK B.V.","","","","","","","65.802","","65.802","","","","131.604"
"Marokko","","","","","","","","","","","","",""
"1210744 - DE JONG & LAVINO B.V.","","","","","","21.942","","","","","","21.942","43.884"
"Mongolië","","","","","","","","","","","","",""
"1204429 - BAKERY INITIATIVES INTERNATI","","","","","","","97.357","","79.656","","","","177.013"
"Mozambique","","","","","","","","","","","","",""
"1096361 - RURAL SPARK B.V.","","","","","","","36.611","","","","","","36.611"
"1175236 - RURAL SPARK B.V.","","","","28.461","","28.461","","","","28.461","","28.461","113.845"
"Niger","","","","","","","","","","","","",""
"1153445 - RURAL SPARK B.V.","","","","","","14.256","14.256","","","","","14.256","42.768"
"Nigeria","","","","","","","","","","","","",""
"1110640 - BAKERY INITIATIVES INTERNATI","90.241","67.196","50.676","","","100.793","90.241","117.871","","","","100.793","617.812"
"1257082 - RURAL SPARK B.V.","","","","","","92.826","","","","","","92.826","185.653"
"1168375 - INDEPENDENT ENERGY B.V.","","","","28.597","","","","","","28.597","","","57.193"
"1079156 - INDEPENDENT ENERGY B.V.","","","1.048","","","","","","18.743","","","","19.791"
"1221589 - AFRICAN BAKERY TRADE & FIN","","","","","","39.536","","","","","","38.446","77.982"
"Oeganda","","","","","","","","","","","","",""
"1171806 - PAS REFORM B.V.","","","","","","","123.830","","","","","","123.830"
"1244785 - RURAL SPARK B.V.","","","","","","","","54.911","","","","","54.911"
"Senegal","","","","","","","","","","","","",""
"1048218 - RURAL SPARK B.V.","","13.884","","","11.064","","","13.884","","","11.064","","49.896"
