"polis","produkt","eind","verzekerde","debiteur","sector","bruto nominaal","netto reëel","premie","bevoorschot","schade","provenu"
"nummer","","datum","naam","naam","","obligo","obligo","","","",""
"1192757","polis","25-dec-2025","MEYN FOOD PROCESSING TECHNOLOG","JILIN DEXIANG ANIMAL HUSBANDRY","Machinery and electronics","2.691.174","1.893.697","90.341","2.210.226","","392.180"
"","","","","","Totaal land","2.691.174","1.893.697","90.341","2.210.226","","392.180"
"Hong Kong (premieklasse: 2)","","","","","","","","","","",""
"1024126","polis","03-okt-2024","IM - INNOVATING B.V.","NCH HOLDINGS CO., LIMITED","Other","622.533","95.379","25.330","498.031","","406.647"
"1054060","polis","28-apr-2025","IM - INNOVATING B.V.","NCH HOLDINGS CO., LIMITED","Other","290.832","68.957","10.761","236.320","","171.348"
"1138996","dekkingsadvies","31-dec-2021","EUROPEAN MACHINE TRADING B.V.","NUTRISOURCE PTE. LTD.","Machinery and electronics","","","","","",""
"","","","","","Totaal land","913.365","164.336","36.091","734.351","","577.994"
"Oezbekistan (premieklasse: 5)","","","","","","","","","","",""
"1231116","polis","15-sep-2025","B.V. VOORHEEN FIRMA SCHAAP","PLAZA BUILDING LTD","Other","1.282.608","710.113","53.616","1.077.434","",""
"","","","","","Totaal land","1.282.608","710.113","53.616","1.077.434","",""
