"","Overzicht facturen per land per faciliteit en bedragtype (mutaties in euro)","","","","","","","","","",""
"December
2023","","","","","","","","","","",""
"","","","","","","","","","","","Uitgereikt na 1998"
"","","EKV","","","","Investeringen","","GGP","","Totaal",""
"Landnaam","","","","","","","","","","",""
"","","Provisie en","Claims en","","","Provisie en","Claims en","Provisie en","Claims en","Provisie en
Claims en","Provenu
Provenu
Provenu"
"Polisnr - naam verzekerde","Premie","","","Provenu","Premie","","","Provenu","","",""
"","","Kosten","incasso","","","Kosten","incasso","Premie
 Kosten","Premie
 Provenu
incasso","Kosten
incasso","non Cvp
Cvp
totaal"
"1222917 - SIGNIFY NETHERLA","","500","","","","","","","","500",""
"1297872 - SIGNIFY NETHERLA","6.316","","","","","","","","6.316","",""
"Vietnam","","","","","","","","","","",""
"1038133 - CLIMATE FUND MA","273.399","","","","","","","","273.399","",""
"1077163 - CLIMATE FUND MA","1.274.258","","","","","","","","1.274.258","",""
"Zuid Afrika","","","","","","","","","","",""
"1304267 - BOLLEGRAAF RECY","1.686","","","","","","","","1.686","",""
"Subtotalen","","","","","","","","","","",""
"Uitgereikt na 1998","","","","","","","","","","",""
"","2.557.611","4.500","-5.647.380","3.747.696","","","","","2.557.611","4.500
-5.647.380","3.695.066
52.630
3.747.696"
"1_35_flow","","","","","","","","' Atradius 2010","","","Pagina 4 van 5"
