"","","AA+
AAA","A+","BBB+","BBB-","BB+","BB","BB-","B+","B","B-","Totaal","Expected","MVK*"
"","","AA","A A","BBB","","","","","","","","","Loss",""
"","","AA-","-","","","","","","","","","","",""
"Premieklasse:","0","","","","","","","","","","","","",""
"Dekkingstoezegging","","","","","","","2.069.380.218","","","","","2.069.380.218","7.819.173","165.550.417"
"Polis","","592.854","11.193.176","","","","3.264.146.194","","","","","3.275.932.224","17.553.907","262.074.578"
"Premieklasse:","2","","","","","","","","","","","","",""
"Dekkingstoezegging","","6.445.377","","","","","","368.655.414","","","","375.100.791","2.785.496","30.008.063"
"Polis","","2.053.781","3.130.789","","176.136.538","","","3.641.414.543","","","","3.822.735.651","26.888.656","305.818.852"
"Premieklasse:","3","","","","","","","","","","","","",""
"Dekkingstoezegging","","","136.203.712","","34.928.050","","","26.466.315","","","","197.598.077","353.294","15.807.846"
"Polis","","","25.918.180","","1.893.142","","41.703.848","6.974.831.511","","","","7.044.346.682","54.898.787","563.547.735"
"Premieklasse:","4","","","","","","","","","","","","",""
"Dekkingstoezegging","","","","","7.392.096","","","","36.315.084","","","43.707.180","468.854","3.496.574"
"Polis","","","","","6.419.918","","3.177.343","142.323.298","1.967.608.707","","","2.119.529.265","24.032.073","169.562.341"
"Premieklasse:","5","","","","","","","","","","","","",""
"Dekkingstoezegging","","","","","","","262.798.761","","","209.345.807","","472.144.568","4.311.112","37.771.565"
"Polis","","","","","","","493.328.191","3.122.352","1.149.860.406","182.478.905","","1.828.789.853","20.395.847","146.303.188"
"Premieklasse:","6","","","","","","","","","","","","",""
"Dekkingsadvies","","","","","","","","","","","","0","","0"
"Dekkingstoezegging","","","","","","","","214.781.048","","32.519.974","","247.301.023","2.368.294","19.784.082"
"Polis","","","","","","","","219.211.898","1.767.603","630.874.465","","851.853.966","11.893.233","68.148.317"
"Premieklasse:","7","","","","","","","","","","","","",""
"Dekkingsadvies","","","","","","","","","","","","0","","0"
"Dekkingstoezegging","","","","","","","","","557.717.683","","2.229.628","559.947.311","6.782.949","44.795.785"
"Polis","","","","","","","","","1.107.140.294","73.477.065","4.007.460.680","5.188.078.039","98.623.702","415.046.243"
"Totaal polissen","","0
2.646.636","40.242.146","0","184.449.598","0","3.802.355.576","10.980.903.601","4.226.377.010","886.830.434","4.007.460.680","24.131.265.680","254.286.205","1.930.501.254"
"Totaal dekkingstoezeggingen","","0
6.445.377","136.203.712","0","42.320.146","0","2.332.178.979","609.902.778","594.032.767","241.865.782","2.229.628","3.965.179.168","24.889.172","317.214.333"
"Totaal risico","","0
9.092.013","176.445.857","0","226.769.744","0","6.134.534.554","11.590.806.379","4.820.409.777","1.128.696.215","4.009.690.308","28.096.444.848","279.175.377","2.247.715.588"
"MVK*","","0
727.361","14.115.669","0","18.141.580","0","490.762.764","927.264.510","385.632.782","90.295.697","320.775.225","2.247.715.588","",""
