"Maand","Product","Uitgereikt","MS-verhoging","Gebruikt","Mutaties","Totaal","Uitgereikt","MS-verhoging","Gebruikt","Mutaties","Totaal","Gebruikt","Totaal"
"januari","dekkingstoezegging","8.820.088","2.843.055","11.663.143","-288.112.904","-276.449.761","4.301.253","-97.253","4.204.000","-56.773.662","-52.569.662","15.867.144","-329.019.422"
"","polis","1.596.635","4.148.634","5.745.269","-391.821.002","-386.075.733","0","","0","-474.784.500","-474.784.500","5.745.269","-860.860.233"
"februari","dekkingstoezegging","238.902.005","3.359.042","242.261.047","-109.060.786","133.200.261","171.602.274","","171.602.274","-221.633.191","-50.030.917","413.863.320","83.169.344"
"","polis","48.964","11.537.132","11.586.096","-349.849.853","-338.263.757","0","","0","-242.325.652","-242.325.652","11.586.096","-580.589.409"
"maart","dekkingstoezegging","570.750.791","13.685.899","584.436.690","-439.288.419","145.148.271","491.281.444","2.428.709","493.710.152","-687.406.555","-193.696.402","1.078.146.842","-48.548.131"
"","polis","23.707.126","3.398.629","27.105.755","-577.048.342","-549.942.587","0","","0","-589.409.984","-589.409.984","27.105.755","-1.139.352.572"
"april","dekkingstoezegging","103.693.939","185.834","103.879.773","-136.004.257","-32.124.483","2.809.521","78.819","2.888.340","28.575.179","31.463.518","106.768.113","-660.965"
"","polis","226.573.097","130.791.910","357.365.007","-155.847.559","201.517.448","0","","0","50.588.435","50.588.435","357.365.007","252.105.883"
"mei","dekkingstoezegging","46.160.758","","46.160.758","-794.136.383","-747.975.625","0","","0","-341.229.393","-341.229.393","46.160.758","-1.089.205.018"
"","polis","9.889.181","27.914.119","37.803.300","39.241.929","77.045.229","111.997.508","","111.997.508","-21.915.135","90.082.373","149.800.808","167.127.603"
"juni","dekkingstoezegging","202.017.096","","202.017.096","-307.588.081","-105.570.986","31.543.185","","31.543.185","-134.150.792","-102.607.607","233.560.280","-208.178.593"
"","polis","2.890.595","","2.890.595","-67.276.396","-64.385.801","0","","0","-112.217.043","-112.217.043","2.890.595","-176.602.844"
"juli","dekkingstoezegging","581.110.319","17.548.659","598.658.978","-54.719.867","543.939.111","9.706.148","","9.706.148","18.297.490","28.003.638","608.365.126","571.942.749"
"","polis","5.527.950","3.564.444","9.092.394","62.799.009","71.891.403","26.699","","26.699","179.868.521","179.895.220","9.119.093","251.786.624"
"augustus","dekkingstoezegging","30.113.919","","30.113.919","-282.860.183","-252.746.264","0","","0","-35.157.723","-35.157.723","30.113.919","-287.903.987"
"","polis","28.667.929","4.844.333","33.512.262","-5.838.509","27.673.753","0","","0","-142.335.217","-142.335.217","33.512.262","-114.661.463"
"september","dekkingstoezegging","43.835.547","50.532.320","94.367.867","40.615.891","134.983.758","0","","0","-31.077.397","-31.077.397","94.367.867","103.906.361"
"","polis","13.481.207","8.134.084","21.615.291","-228.285.534","-206.670.243","0","","0","-263.015.423","-263.015.423","21.615.291","-469.685.666"
"oktober","dekkingstoezegging","390.639.795","1.608.918","392.248.713","-112.481.100","279.767.613","273.160.838","","273.160.838","-261.584.749","11.576.089","665.409.552","291.343.703"
"","polis","410.768.817","8.065.701","418.834.518","153.543.381","572.377.898","0","22.371","22.371","84.794.323","84.816.694","418.856.888","657.194.592"
"november","dekkingstoezegging","191.054.068","3.229.332","194.283.400","-374.365.061","-180.081.661","402.206","3.937.637","4.339.843","-245.056.060","-240.716.217","198.623.243","-420.797.878"
"","polis","153.745.433","2.982.594","156.728.027","295.330.120","452.058.147","7.056.953","49.366","7.106.319","160.580.738","167.687.057","163.834.345","619.745.204"
"december","dekkingstoezegging","75.326.907","282.670","75.609.577","-183.039.638","-107.430.061","5.122.911","1.063.376","6.186.287","-9.539.416","-3.353.128","81.795.864","-110.783.189"
"","polis","10.174.110","18.210.397","28.384.507","-64.984.566","-36.600.059","2.481.588","","2.481.588","216.328.170","218.809.759","30.866.095","182.209.699"
"Totaal polissen","","887.071.044","223.591.977","1.110.663.021","-1.290.037.321","-179.374.300","121.562.748","71.737","121.634.485","-1.153.842.766","-1.032.208.281","1.232.297.506","-202.948.789"
"Totaal dekkingstoezeggingen","","2.482.425.231","93.275.730","2.575.700.961","-3.041.040.787","-465.339.825","989.929.779","7.411.289","997.341.067","-1.976.736.267","-979.395.200","3.573.042.028","2.027.619.984"
"Totaal faciliteit","","3.369.496.275","316.867.707","3.686.363.982","-4.331.078.107","-644.714.125","1.111.492.527","7.483.025","1.118.975.552","-3.130.579.034","-2.011.603.481","4.805.339.534","1.824.671.196"
