"","","","in euro"
"ATRADIUS DUTCH STATE BUSINESS N.V.","","",""
"","Totaal","land","28.555.460"
"Turkije (premieklasse: 5)","","",""
"","","Totaal herverzekeraar","28.555.460"
"EFIC EXPORT FINANCE &","","",""
"","Totaal","land","2.529.397"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","2.529.397"
"EULER HERMES AKTIENGESELLSCHAFT","","",""
"","Totaal","land","9.397.758"
"Mexico (premieklasse: 3)","","",""
"","Totaal","land","7.674.061"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","17.071.820"
"EULER HERMES DEUTSCHLAND AKTIENGESELLSCHAFT","","",""
"","Totaal","land","0"
"Mexico (premieklasse: 3)","","",""
"","Totaal","land","0"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","0"
"EXPORT CREDITS GUARANTEE DEPARTMENT","","",""
"","Totaal","land","29.246.222"
"Brazilië (premieklasse: 4)","","",""
"","Totaal","land","0"
"Mexico (premieklasse: 3)","","",""
"","Totaal","land","11.594.300"
"Tanzania (premieklasse: 6)","","",""
"","","Totaal herverzekeraar","40.840.522"
"MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT","","",""
"","Totaal","land","7.058.898"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","7.058.898"
"SACE S.P.A.","","",""
"","Totaal","land","92.123.531"
"Brazilië (premieklasse: 4)","","",""
"","","Totaal herverzekeraar","92.123.531"
"SOVEREIGN RISK INSURANCE LTD","","",""
"","Totaal","land","13.411.905"
"Sri Lanka (premieklasse: 7)","","",""
"","","Totaal herverzekeraar","13.411.905"
"THE ISLAMIC CORPORATION FOR THE INSURANCE OF INVESTMENT AND EXPORT","","",""
"","Totaal","land","49.681.872"
"Malediven (premieklasse: 7)","","",""
"","Totaal","land","0"
"Oman (premieklasse: 5)","","",""
