"","Overzicht portefeuille koersrisico obligo per valuta (stand in euro)","","","","","","","","",""
"December","2023","","","","","","","","",""
"valuta","polis nr","bruto nominaal obligo","verwacht resultaat","variatie","betrouwbaarheidsinterval","risico eind datum","garantie koers","spotkoers","pips","rekenkundige afrekenkoers"
"USD","","","","","","","","","",""
"","1261783","140.985.993","4.528.641","0,00000000%","4.528.641","13-nov-2023","1,09940000","1,06190000","0,00000000","1,06190000"
"","1259242","6.440.336","125.840","0,00000000%","125.840","21-dec-2023","1,08440000","1,06190000","0,00000000","1,06190000"
"","1283657","143.932.656","1.887.954","0,00000000%","1.887.954","14-nov-2023","1,07690000","1,06190000","0,00000000","1,06190000"
"Totaal USD","","291.358.985","6.542.435","","6.542.435","","","","",""
"Totaal","","291.358.985","6.542.435","","6.542.435","","","","",""
"2_85_stock","","","","","© Atradius 2014","","","","","Pagina 1 van 1"
