"3.1 Stand en mutaties van de vorderingen in Euro","","",""
"december 2023","","",""
"","Vorderingen uit","Overige Vorderingen","Totaal aan"
"","hoofde van","","Vorderingen"
"","Consolidaties","",""
"Stand ultimo
november 2023
(A)","286.728.550","541.086.525","827.815.075"
"Mutaties uit hoofde van:","","",""
"-schaden kortlopend en Middellang, exclusief","","",""
"kosten na schadevergoeding","","4.874.970","4.874.970"
"-provenu's","894.820","4.100.909","4.995.729"
"Totaal                (B)","(894.820)","774.062","(120.758)"
"Saldo              (A+B)","285.833.730","541.860.587","827.694.317"
"Overige mutaties:","","",""
"-kwijtscheldingen (pre 1999)","0","","0"
"-kwijtscheldingen (post 1998)","0","","0"
"-buiten invordering gesteld (pre 1999)","","(696.347)","(696.347)"
"-buiten invordering gesteld (post 1998)","","(32.114.127)","(32.114.127)"
"-zaak heropend","","0","0"
"-in cons. gegeven vorderingen","1.276.541","(1.276.541)","0"
"Totaal                (C)","1.276.541","(34.087.015)","(32.810.474)"
"Saldo                 (A+B+C)","287.110.271","507.773.572","794.883.843"
"Afronding","-1","-1","-2"
"Stand ultimo
december 2023","287.110.270","507.773.571","794.883.841"
"Toelichting:","","",""
"","In de stand van de ""overige vorderingen"" is een totaal provenubedrag verwerkt van","",""
"","EUR 2,4 miljoen, voortvloeiend uit de uitstelregeling met Peru. Van dit bedrag is","",""
"","EUR 1,5 miljoen als aflossing opgenomen. De overige EUR 0,9 miljoen heeft betrekking","",""
"","op rentebetalingen en is in de stand van de ""overige vorderingen""  gecorrigeerd.","",""
"","In de maand december 2002 is de stand van de ""vorderingen uit hoofde van consolidaties"" verhoogd","",""
"","met EUR 0,8 miljoen. Deze correctie vloeit voort uit de exercitie afkoop eigen risico Polen.","",""
"","© Atradius","",""
