"","","pre 1999","","","post 1998","","","","","","",""
"","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding","netto schade","netto CvP","kwijtschelding"
"Suriname","","","","2.495","6.487.796","0","","","","2.495","6.487.796","0"
"Tanzania","-40.433","1.109.290","54.729.856","2.007.348","0","1.284.528","0","0","142.530","1.966.914","1.109.290","56.156.915"
"Togo","","","","-24.035","1.160.611","9.016.182","","","","-24.035","1.160.611","9.016.182"
"Tsjaad","","","","-644.934","-77.050","182.784","","","","-644.934","-77.050","182.784"
"Turkije","55.961","-356.984","0","1.821.894","8.105","0","","","","1.877.855","-348.879","0"
"USSR","24.374.052","1.261.743","0","","","","","","","24.374.052","1.261.743","0"
"Verenigde Arabische Emiraten","","","","8.888.348","0","0","","","","8.888.348","0","0"
"Zambia","","","","21.296.349","0","0","","","","21.296.349","0","0"
"Zimbabwe","15.332.210","0","0","","","","","","","15.332.210","0","0"
"Totaal","2.800.424","251.952.452","853.408.178","504.034.147","34.312.818","86.527.758","0","0","142.530","506.834.571","286.265.270","940.078.466"
