"EKV","","","","","","","","","","","","",""
"784961 - COÖPERATIEVE RABOBANK U.A.","654.028","","","","","","654.028","","","","","","1.308.056"
"843208 - DAMEN SHIPYARDS GORINCHEM","","341.420","","","","","","332.672","","","","","674.092"
"844657 - DAMEN SHIPYARDS GORINCHEM","","","441.519","","","","","","432.290","","","","873.809"
"1053240 - DAMEN SHIPYARDS GORINCHE","","","","218.198","","","","","","213.566","","","431.764"
"Zambia","","","","","","","","","","","","",""
"763032 - ASHR'A - THE ISRAEL EXPORT IN","","","","","","2.727.569","","","","","","2.704.985","5.432.554"
"252525 - ING BANK N.V.","","3.269.258","","","","","","3.177.719","","","","","6.446.977"
"Subtotaal","16.972.471","5.394.051","19.731.638","9.915.687","6.484.087","5.762.013","19.218.405","6.914.051","20.015.778","13.411.673","4.545.613","6.921.248","135.286.716"
"Totaal","16.972.471","5.394.051","19.731.638","9.915.687","6.484.087","5.762.013","19.218.405","6.914.051","20.015.778","13.411.673","4.545.613","6.921.248","135.286.716"
