"Specificatie gesloten schadezaken (in euro)","","","","","","","","","",""
"December
2023","","","","","","","","","",""
"polis","datum (her-)","polis eind","verzekerde","verzekerde","debiteur","debiteur","debiteur","sector","netto","faciliteit"
"nummer","opening","datum","nummer","naam","nummer","naam","type","","schade",""
"792735","07-mrt-2017","10-mrt-2021","36866745","AKA AUSFUHRKREDIT- GESELLSCHAFT","21353353","PUBLIC JOINT STOCK COMPANY TA","standaard bank","Machinery and electronics","2.477.583","EKV"
"810826","24-mrt-2014","23-jan-2015","4387519","COÖPERATIEVE RABOBANK U.A.","16319109","MASTER BANK","goede bank","Other","1.107.702","EKV"
"856337","24-mrt-2014","14-nov-2015","4387519","COÖPERATIEVE RABOBANK U.A.","16319109","MASTER BANK","goede bank","Other","2.444.750","EKV"
"","","","","","","","","Totaal land","6.030.035",""
"Turkije","","","","","","","","","",""
"767729","25-mrt-2010","01-mei-2012","4368554","ABN AMRO BANK N.V.","16217641","ISTANBUL VATAN SAGLIK HIZMETLE","standaard particulier","Machinery and electronics","778.640","EKV"
"","","","","","","","","Totaal land","778.640",""
