"4.1 Mutatie overzicht rekening-courant 's Rijksschatkist","","","","",""
"periode : 01-12-2023 t/m 31-12-2023","","","","",""
"Datum","Omschrijving","Bedrag","Datum","Omschrijving","Bedrag"
"","","","30-nov-23","Saldo","105.110.591,60"
"","Voorschot vergoedingsregeling","2.565.500,00","","",""
"","Schade","5.647.379,63","","Premie","2.557.611,42"
"","","","","Premie - investeringen","-"
"13-dec-23","Remise R35","3.000.000,00","","",""
"14-dec-23","Remise R36","1.100.000,00","","",""
"21-dec-23","Remise R37","3.600.000,00","","Provisie- en kostennota's","4.500,00"
"27-dec-23","Remise R38","3.100.000,00","","",""
"","","","","Provenu - kortlopend","-"
"","","","","Provenu - middellang","4.100.908,74"
"","Doorbelasten kosten juridische werkzaamheden inzake IHC, brief 7 december","11.280,23","","Provenu - consolidatie","1.096.843,39"
"","Doorbelasten kosten inzake dossier Enraf Nonius, brief 7 december","44.267,40","","",""
"","","","19-dec-23","Bevoorschotting  B49","2.600.000,00"
"","","","20-dec-23","Bevoorschotting  B50","2.200.000,00"
"","","","","Zuerich Versicherungs Gesellsch Sri Lanka","2.391.741,89"
"","","","","Zuerich Versicherungs Gesellsch Sri Lanka (USD 759,493,20)","690.159,75"
