"","","","","","Kapitaalmarktleningen","","","","","","Begrotingsleningen","","","",""
"Land","","","","","","","","","","","","","","",""
"","type*","valuta","t/m 2025","2026","2027","2028","2029","2030 e.v.","t/m 2025","2026","2027","2028","2029","2030 e.v.","totaal"
"Pakistan","CINT","EUR","","","","","","","356.661","124.296","92.561","0","0","0","573.518"
"","CINT","EUR","552.276","192.468","143.328","0","0","0","","","","","","","888.072"
"","PRIN","EUR","5.497.745","2.413.409","2.312.850","2.011.174","2.011.174","20.111.740","","","","","","","34.358.092"
"","PRIN","EUR","","","","","","","3.550.449","1.558.582","1.493.641","1.298.818","1.298.818","12.988.180","22.188.487"
"","RINT","EUR","1.590.241","712.565","659.313","609.207","557.274","2.817.434","","","","","","","6.946.034"
"","RINT","EUR","","","","","","","1.026.979","460.175","425.785","393.426","359.888","1.819.502","4.485.755"
"Peru","PRIN","EUR","512.500","224.248","52.049","52.049","0","0","","","","","","","840.845"
"","RINT","EUR","10.968","2.593","890","391","0","0","","","","","","","14.843"
"Trinidad & Tobago","PINT","EUR","465.009","0","0","0","0","0","","","","","","","465.009"
"","PRIN","EUR","1.111.285","0","0","0","0","0","","","","","","","1.111.285"
"","RINT","EUR","257.399","0","0","0","0","0","","","","","","","257.399"
"Zimbabwe","PINT","EUR","11.408.785","0","0","0","0","0","","","","","","","11.408.785"
"","PRIN","EUR","25.269.476","0","0","0","0","0","","","","","","","25.269.476"
"","RINT","EUR","6.833.175","0","0","0","0","0","","","","","","","6.833.175"
