"","Overzicht uitreik naar goedkeurende instantie (in euro)","","","","","","",""
"December","2023","","","","","","",""
"","","","","","","","Maximale",""
"datum","nummer","produkt","type","verzekerde naam","land","debiteur naam","Schadevergoeding","sector
groen categorie"
"DGGF","","","","","","","",""
"Atradius DSB","","","","","","","",""
"11-12-2023","1293118","dekkingsadvies","kapitaalgoederen","GO & GROW FARM SOLUTIONS B.V.","Zimbabwe","CHACO TRADING (PVT) LTD","259.711","Mfg of agricult + forest machinery"
"21-12-2023","1291769","dekkingsadvies","kapitaalgoederen","RURAL SPARK B.V.","Liberia","LIB SOLAR LLC","791.284
Renewable energy","Production of electricity"
"21-12-2023","1278598","dekkingsadvies","kapitaalgoederen","VAN DEN HEUVEL DAIRY & FOOD EQUIP","Gambia","RAHMA GAMBIA LIMITED","2.461.899","Wholesale other non-agri machinery"
"Totaal","3","","","","","","3.512.894",""
"5_30_flow","","","","","","© Atradius 2017","","Page 1 of 3"
