"Afrika","","","","","","","","","","","",""
"","Burkina Faso (premieklasse: 7)","","","","","","","","","","",""
"","1218463","polis","31-mrt-2026","HPA HOLDING B.V.","ETABLISSEMENT NANA BOUREIMA","Transport","4.767.209","3.719.012","287.311","4.393.805","",""
"","","","","","","Totaal land","4.767.209","3.719.012","287.311","4.393.805","",""
"","Congo (premieklasse: 7)","","","","","","","","","","",""
"","985044","polis","13-nov-2030","KIEZEBRINK PUTTEN B.V.","EGG'S FOR CONGO SARL","Other","","","7.113","","",""
"","1076896","polis","15-aug-2023","RURAL SPARK B.V.","ALTERNATIVE ENERGY TECHNOLO","Electricity, Gas, Water","","","16.715","239.123","","241.253"
"","1083034","polis","02-dec-2023","RURAL SPARK B.V.","ALTERNATIVE ENERGY TECHNOLO","Electricity, Gas, Water","511.043","65.694","27.750","380.618","","318.416"
"","1114755","polis","07-jun-2024","RURAL SPARK B.V.","ALTERNATIVE ENERGY TECHNOLO","Electricity, Gas, Water","740.440","199.414","42.554","576.870","","386.620"
"","1151333","polis","06-nov-2024","RURAL SPARK B.V.","ALTERNATIVE ENERGY TECHNOLO","Electricity, Gas, Water","1.595.362","493.454","94.014","1.428.428","","956.696"
"","1182652","polis","31-mei-2025","RURAL SPARK B.V.","ALTERNATIVE ENERGY TECHNOLO","Electricity, Gas, Water","2.189.057","1.076.714","110.071","1.633.199","","609.808"
"","1240773","polis","15-jan-2027","COÖPERATIEVE RABOBANK U.A.","ALTERNATIVE ENERGY TECHNOLO","Electricity, Gas, Water","5.656.633","4.441.840","345.853","","",""
"","","","","","","Totaal land","10.692.535","6.277.116","644.070","4.258.237","","2.512.792"
"","Djibouti (premieklasse: 7)","","","","","","","","","","",""
"","1045513","polis","20-mrt-2025","WEBER KLIMAATTECHNIEK B.V.","LOYADA FISH ASSOCIATION","Other","465.890","124.645","40.887","402.033","",""
"","1217903","polis","12-dec-2027","VAN DEN HEUVEL DAIRY & FOOD EQUIP","DYNAMIC ENTERPRISE LLC","Other","1.023.968","822.796","92.643","863.547","",""
"","1262787","polis","15-jun-2028","RAINMAKER HOLLAND B.V.","ROOB INDUSTRIES & FOODSTUFF T","Other","961.903","961.903","77.498","","",""
"","1290943","polis","09-mrt-2029","RAINMAKER HOLLAND B.V.","ROOB INDUSTRIES & FOODSTUFF T","Other","1.337.740","1.337.740","102.173","","",""
"","","","","","","Totaal land","3.789.501","3.247.084","313.201","1.265.580","",""
"","Ethiopië (premieklasse: 7)","","","","","","","","","","",""
"","844268","polis","09-apr-2036","ETHIOPIAN DAIRY INVESTMENT B.V.","HOLLAND DAIRY PLC.","Other","14.440.000","14.440.000","253.448","","",""
"","985278","polis","10-jul-2022","WEBER KLIMAATTECHNIEK B.V.","OMO RIVER FISH TRADING ENTERP","Other","782.102","0","57.282","426.700","156.114","21.003"
"","1151424","polis","31-mrt-2038","SELECTA HOLLAND B.V.","SELECTA ETHIOPIE PLC","Other","19.482.800","19.482.800","126.961","","",""
"","1180289","polis","01-jul-2025","ENRAF-NONIUS B.V.","MINISTRY OF EDUCATION GOVERN","Machinery and electronics","1.046.110","1.046.110","24.519","","",""
"","1249329","polis","23-jan-2038","DG ROSES B.V.","DG ROSES PLC","Agriculture, Food, Textile and","9.872.000","9.872.000","1.836","","",""
"","","","","","","Totaal land","45.623.012","44.840.910","464.046","426.700","156.114","21.003"
